Date,Name,Year,Letterboxd URI,Rating,Language,Genres
6/30/2022,Captain Marvel,2019,https://boxd.it/9vSA,1.5,English,"Science Fiction, Action, Adventure"
6/30/2022,Iron Man,2008,https://boxd.it/28dA,3,English,"Adventure, Science Fiction, Action"
6/30/2022,The Incredible Hulk,2008,https://boxd.it/28dU,1,English,"Science Fiction, Action, Adventure"
6/30/2022,Thor: The Dark World,2013,https://boxd.it/2DqA,2,English,"Action, Adventure, Fantasy"
6/30/2022,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5,English,"Adventure, Action, Science Fiction"
6/30/2022,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3,English,"Action, Science Fiction, Adventure"
6/30/2022,Avengers: Endgame,2019,https://boxd.it/9vE4,4,English,"Science Fiction, Action, Adventure"
6/30/2022,WandaVision,2021,https://boxd.it/sbGW,3.5,English,"Mystery, Drama"
6/30/2022,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,3,English,Drama
6/30/2022,Loki,2021,https://boxd.it/sbHg,1,English,Drama
6/30/2022,Hawkeye,2021,https://boxd.it/xQqK,3.5,English,"Drama, Comedy"
6/30/2022,The Adam Project,2022,https://boxd.it/q2Dg,3,English,"Adventure, Science Fiction"
6/30/2022,The Lost City,2022,https://boxd.it/sg0Q,0.5,English,"Adventure, Action, Comedy"
6/30/2022,Moonshot,2022,https://boxd.it/sQRG,4,English,"Romance, Science Fiction, Comedy"
6/30/2022,Along for the Ride,2022,https://boxd.it/tfIO,3,English,"Romance, Drama"
6/30/2022,Cheaper by the Dozen,2022,https://boxd.it/pQeI,3.5,English,"Comedy, Family"
6/30/2022,Bheemla Nayak,2022,https://boxd.it/uzR4,3.5,Telugu,"Thriller, Action, Drama"
6/30/2022,Marvel Studios Assembled: The Making of Moon Knight,2022,https://boxd.it/Arg2,5,English,Documentary
6/30/2022,Acharya,2022,https://boxd.it/pmN4,0.5,Telugu,"Action, Drama"
6/30/2022,Cruella,2021,https://boxd.it/bbKg,4,English,"Comedy, Crime"
6/30/2022,Free Guy,2021,https://boxd.it/k8dm,5,English,"Adventure, Science Fiction, Comedy"
6/30/2022,Raya and the Last Dragon,2021,https://boxd.it/jbkI,3.5,English,"Family, Action, Animation, Fantasy, Adventure"
6/30/2022,In the Heights,2021,https://boxd.it/gLhu,3.5,English,"Romance, Drama"
6/30/2022,All Too Well: The Short Film,2021,https://boxd.it/xTmc,4,English,"Music, Drama"
6/30/2022,Red Notice,2021,https://boxd.it/ixtq,3,English,"Comedy, Action, Crime"
6/30/2022,Jungle Cruise,2021,https://boxd.it/g4YK,1.5,English,"Adventure, Fantasy, Action"
6/30/2022,Moxie,2021,https://boxd.it/lsQK,4.5,English,"Comedy, Drama, Music"
6/30/2022,Sing 2,2021,https://boxd.it/fAnE,3,English,"Family, Animation, Music, Comedy"
6/30/2022,Cherry,2021,https://boxd.it/jRhm,3.5,English,"Crime, Drama"
6/30/2022,The Kissing Booth 3,2021,https://boxd.it/rhOA,0.5,English,"Romance, Comedy"
6/30/2022,Ron's Gone Wrong,2021,https://boxd.it/hlj2,3,English,"Science Fiction, Comedy, Family, Animation"
6/30/2022,Ciao Alberto,2021,https://boxd.it/x4F8,4,English,"Fantasy, Family, Comedy, Animation"
6/30/2022,Peter Rabbit 2: The Runaway,2021,https://boxd.it/iYcQ,4,English,"Fantasy, Family, Adventure, Animation, Comedy"
6/30/2022,Drishyam 2,2021,https://boxd.it/qsak,2,Malayalam,"Crime, Drama, Thriller"
6/30/2022,Onward,2020,https://boxd.it/io92,3.5,English,"Comedy, Family, Fantasy, Adventure, Animation"
6/30/2022,Enola Holmes,2020,https://boxd.it/hX2o,4,English,"Mystery, Crime, Adventure"
6/30/2022,Sonic the Hedgehog,2020,https://boxd.it/gdK8,3.5,English,"Science Fiction, Action, Comedy, Family"
6/30/2022,Extraction,2020,https://boxd.it/jUjA,3.5,English,"Thriller, Action"
6/30/2022,Hubie Halloween,2020,https://boxd.it/mQwm,1.5,English,"Horror, Mystery, Comedy"
6/30/2022,The Kissing Booth 2,2020,https://boxd.it/lrky,0.5,English,"Comedy, Romance"
6/30/2022,Shazam!,2019,https://boxd.it/8WBu,4,English,"Action, Comedy, Fantasy"
6/30/2022,Frozen II,2019,https://boxd.it/aPvo,1.5,English,"Comedy, Family, Animation, Adventure, Fantasy"
6/30/2022,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,4,English,"Action, Fantasy, Adventure"
6/30/2022,Aladdin,2019,https://boxd.it/eSjy,3.5,English,"Fantasy, Family, Romance, Adventure"
6/30/2022,Dark Phoenix,2019,https://boxd.it/anyO,1.5,English,"Action, Science Fiction, Adventure, Fantasy"
6/30/2022,The Last Summer,2019,https://boxd.it/i8Sg,2.5,English,"Romance, Comedy"
6/30/2022,Ek Ladki Ko Dekha Toh Aisa Laga,2019,https://boxd.it/jp1g,3.5,Hindi,"Romance, Drama"
6/30/2022,"Love, Simon",2018,https://boxd.it/g02s,3.5,English,"Romance, Comedy, Drama"
6/30/2022,The Kissing Booth,2018,https://boxd.it/geR0,0.5,English,"Romance, Comedy"
6/30/2022,Instant Family,2018,https://boxd.it/hHpQ,3,English,"Drama, Comedy"
6/30/2022,Night School,2018,https://boxd.it/gcyU,2,English,Comedy
6/30/2022,Bāhubali 2: The Conclusion,2017,https://boxd.it/bMfO,4,Telugu,"Action, Fantasy, Adventure"
6/30/2022,Bāhubali: The Beginning,2015,https://boxd.it/7y2y,2.5,Telugu,"Adventure, Drama, Action"
6/30/2022,Eega,2012,https://boxd.it/4HhQ,3,Telugu,"Fantasy, Action, Comedy"
6/30/2022,Pokiri,2006,https://boxd.it/1ziK,3.5,Telugu,"Thriller, Action, Crime"
6/30/2022,Seethamma Vakitlo Sirimalle Chettu,2013,https://boxd.it/5PiO,2,Telugu,"Family, Drama"
6/30/2022,Athadu,2005,https://boxd.it/18T0,4.5,Telugu,"Action, Thriller"
6/30/2022,Bharat Ane Nenu,2018,https://boxd.it/i7KA,4,Telugu,"Drama, Action"
6/30/2022,1: Nenokkadine,2014,https://boxd.it/7jOs,3.5,Telugu,"Thriller, Action, Romance"
6/30/2022,Awe!,2018,https://boxd.it/i4l8,3,Telugu,"Romance, Action, Drama"
6/30/2022,Ala Vaikunthapurramuloo,2020,https://boxd.it/ngUk,5,Telugu,"Action, Drama, Comedy"
6/30/2022,Rangasthalam,2018,https://boxd.it/gu8K,4.5,Telugu,"Drama, Action"
6/30/2022,Shyam Singha Roy,2021,https://boxd.it/u62G,2,Telugu,"Romance, Drama"
6/30/2022,Jersey,2019,https://boxd.it/lQjU,4,Telugu,Drama
6/30/2022,Mirchi,2013,https://boxd.it/5pUW,1.5,Telugu,"Drama, Action"
6/30/2022,Businessman,2012,https://boxd.it/2WYm,3,Telugu,"Crime, Action"
6/30/2022,Dookudu,2011,https://boxd.it/2N9E,2,Telugu,"Comedy, Action, Drama"
6/30/2022,Darling,2010,https://boxd.it/8TM,4,Telugu,"Drama, Romance"
6/30/2022,Gaganam,2011,https://boxd.it/hkw,3.5,Telugu,"Drama, Thriller, Action"
6/30/2022,Billa,2009,https://boxd.it/1yOA,3,Telugu,"Thriller, Action"
6/30/2022,Mahanati,2018,https://boxd.it/grck,4.5,Telugu,Drama
6/30/2022,Agent Sai Srinivasa Athreya,2019,https://boxd.it/mygg,3.5,Telugu,"Crime, Mystery, Comedy"
6/30/2022,Magadheera,2009,https://boxd.it/1yMa,2.5,Telugu,Action
6/30/2022,Geetha Govindam,2018,https://boxd.it/jHkg,4.5,Telugu,Romance
