Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-07-22,Oppenheimer,2023,https://boxd.it/4yzOjl,5,,,2023-07-21
2023-10-03,Pushpa: The Rise - Part 1,2021,https://boxd.it/4W3Rnx,3,Yes,,2023-10-02
2023-12-03,RRR,2022,https://boxd.it/5ggPHh,0.5,Yes,,2023-12-02
